"palette_id","source","source_palette","palette_type","max_n","intended_use","recommended_geometry","recommended_background","status","source_order","priority_order","source_url","source_commit","citation","license","derived","source_cvd_claim","notes","audit_min_cie2000","audit_min_contrast_light","audit_min_contrast_dark","audit_date"
"d3_rainbow","D3 Scale Chromatic","interpolateRainbow","cyclic",200,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","dynamic D3 samples t = 0:(n - 1) / n; 200-color audit reference stored","same dynamic D3 sample order as source","https://github.com/d3/d3-scale-chromatic/blob/05e76dafaa89059153e177a4f57d9af985ba49a8/src/sequential-multi/rainbow.js","05e76dafaa89059153e177a4f57d9af985ba49a8","Bostock, d3-scale-chromatic 1.5.0 less-angry rainbow; CELLXGENE categorical color compatibility.","BSD-3-Clause (d3-scale-chromatic); CELLXGENE behavior referenced under MIT",TRUE,"No source CVD-safety claim.","Dynamic compatibility palette sampled at t = 0:(n - 1) / n; the stored 200-color reference is for audit only. CELLXGENE behavior verified at commit 76a39fcf92da57c9e4fd59831ad805a3b007da8c. Cyclic order is not nested, so assignments change when n changes.",0.32964532704514,1.36028921588338,2.46711611343848,"2026-08-03"
"d3_cool","D3 Scale Chromatic","interpolateCool","sequential",100,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","100 D3 interpolateCool source bins sampled at t = 0:99 / 100","reverse source order to match CELLXGENE low-to-high data mapping","https://github.com/d3/d3-scale-chromatic/blob/05e76dafaa89059153e177a4f57d9af985ba49a8/src/sequential-multi/rainbow.js","05e76dafaa89059153e177a4f57d9af985ba49a8","Bostock, d3-scale-chromatic 1.5.0; Niccoli perceptual rainbow; CELLXGENE continuous color compatibility.","BSD-3-Clause (d3-scale-chromatic); CELLXGENE behavior referenced under MIT",TRUE,"No source CVD-safety claim.","Exact 100 source bins sampled at t = 0:99 / 100; priority order is reversed to match CELLXGENE low-to-high data mapping at commit 76a39fcf92da57c9e4fd59831ad805a3b007da8c.",0.32964532704514,1.36616956625351,2.46711611343848,"2026-08-03"
"viridis","viridisLite","viridis","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://sjmgarnier.github.io/viridisLite/",,"Garnier et al., viridisLite","MIT",FALSE,"Designed to remain legible under common CVD simulations.","",8.53679299348972,1.26250410955125,1.14217888975488,"2026-08-03"
"cividis","viridisLite","cividis","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://sjmgarnier.github.io/viridisLite/",,"Garnier et al., viridisLite","MIT",FALSE,"Optimized for common CVD and grayscale viewing.","",6.78138833204426,1.22738350581708,1.0888222984628,"2026-08-03"
"magma","viridisLite","magma","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://sjmgarnier.github.io/viridisLite/",,"Garnier et al., viridisLite","MIT",FALSE,"Designed to remain legible under common CVD simulations.","",7.92268055880101,1.05307926408614,1.04933459126915,"2026-08-03"
"scico_batlow","scico","batlow","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","provided at runtime by the optional scico package","same as source order","https://github.com/thomasp85/scico",,"Crameri, Shephard and Heron (2020), Nature Communications 11:5444","MIT (scico package); Scientific colour maps terms apply",FALSE,"Scientific colour maps are perceptually uniform and CVD-aware.","Optional runtime interoperability; requires the suggested scico package.",,,,"2026-08-03"
"scico_lajolla","scico","lajolla","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","provided at runtime by the optional scico package","same as source order","https://github.com/thomasp85/scico",,"Crameri, Shephard and Heron (2020), Nature Communications 11:5444","MIT (scico package); Scientific colour maps terms apply",FALSE,"Scientific colour maps are perceptually uniform and CVD-aware.","Optional runtime interoperability; requires the suggested scico package.",,,,"2026-08-03"
"scico_vik","scico","vik","diverging",256,"signed_score","point,fill,line","light,dark","compatibility","provided at runtime by the optional scico package","same as source order","https://github.com/thomasp85/scico",,"Crameri, Shephard and Heron (2020), Nature Communications 11:5444","MIT (scico package); Scientific colour maps terms apply",FALSE,"Scientific colour maps are perceptually uniform and CVD-aware.","Optional runtime interoperability; requires the suggested scico package.",,,,"2026-08-03"
"scico_broc","scico","broc","diverging",256,"signed_score","point,fill,line","light,dark","compatibility","provided at runtime by the optional scico package","same as source order","https://github.com/thomasp85/scico",,"Crameri, Shephard and Heron (2020), Nature Communications 11:5444","MIT (scico package); Scientific colour maps terms apply",FALSE,"Scientific colour maps are perceptually uniform and CVD-aware.","Optional runtime interoperability; requires the suggested scico package.",,,,"2026-08-03"
"archr_stallion","ArchR","stallion","qualitative",20,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",8.34734395496915,1.27878089072461,1.39664467042584,"2026-08-03"
"archr_stallion2","ArchR","stallion2","qualitative",19,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",8.34734395496915,1.27878089072461,1.39664467042584,"2026-08-03"
"archr_calm","ArchR","calm","qualitative",20,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",6.83857671720435,1.67926186982269,1.53247440618251,"2026-08-03"
"archr_kelly","ArchR","kelly","qualitative",20,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",9.49486280772603,1.60203474482779,1.19619387228532,"2026-08-03"
"archr_bear","ArchR","bear","qualitative",16,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",13.8661931000182,1.32076323739869,1.23927266296807,"2026-08-03"
"archr_iron_man","ArchR","ironMan","qualitative",15,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",11.9520594801833,1.06484151182928,1.26137932315159,"2026-08-03"
"archr_circus","ArchR","circus","qualitative",15,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",11.579160650083,1.2759550126459,1.36381464039399,"2026-08-03"
"archr_paired","ArchR","paired","qualitative",12,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",12.0104946665706,1.14389383112805,2.28351716910503,"2026-08-03"
"archr_grove","ArchR","grove","qualitative",11,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",14.5866114983213,1.63925218002742,1.01680216604048,"2026-08-03"
"archr_summer_night","ArchR","summerNight","qualitative",7,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",22.8381422047561,1.32076323739869,1.07431299937679,"2026-08-03"
"archr_captain","ArchR","captain","qualitative",5,"cell_identity,sample,condition,lineage,heatmap_annotation","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","ascending numeric source labels used by ArchR paletteDiscrete","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",14.285035235075,1.70244633009943,1.32228169773723,"2026-08-03"
"archr_horizon","ArchR","horizon","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",10.8781470526677,1.06464387605975,1.0416663016425,"2026-08-03"
"archr_horizon_extra","ArchR","horizonExtra","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",7.00039252363298,1.08674285771873,1.12699145703816,"2026-08-03"
"archr_blue_yellow","ArchR","blueYellow","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",7.64083355472766,1.12471804200453,1.51401789820275,"2026-08-03"
"archr_white_red","ArchR","whiteRed","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",45.8079810919496,1,4.35273943818867,"2026-08-03"
"archr_comet","ArchR","comet","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",32.0063803541968,1.23819269273219,1.20659646059254,"2026-08-03"
"archr_beach","ArchR","beach","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",10.5855677338591,1.20663391726704,3.19247618565057,"2026-08-03"
"archr_coolwarm","ArchR","coolwarm","diverging",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",20.3334924155887,1.40233363961898,2.64609187276474,"2026-08-03"
"archr_fireworks","ArchR","fireworks","diverging",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",31.6847991448037,1,2.54170114254272,"2026-08-03"
"archr_grey_magma","ArchR","greyMagma","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",24.5145852266095,1.85867793548316,1.20448479175348,"2026-08-03"
"archr_fireworks2","ArchR","fireworks2","diverging",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",34.1055675974094,1.81002565812442,1.20659646059254,"2026-08-03"
"archr_purple_orange","ArchR","purpleOrange","sequential",256,"expression,pseudotime,qc","point,fill,line","light,dark","compatibility","literal vector order in internal palette database","same as source order to preserve the continuous gradient","https://raw.githubusercontent.com/GreenleafLab/ArchR/6feec354ad6c8052ddbc4626a2ca2d858ed465bf/R/ColorPalettes.R","6feec354ad6c8052ddbc4626a2ca2d858ed465bf","Granja et al. (2021), Nature Genetics 53:403-411; ArchR software.","MIT (ArchR code); individual borrowed-palette terms may differ",FALSE,,"Frozen compatibility palette; original source terms should be reviewed for redistribution.",13.3037140157582,1.60735518184108,1.35217469710618,"2026-08-03"
